CODE,UNIT_NAME
%,%
%{abnormal},
%{activity},
%{aggregation},
%{at_60_min},
%{bacteria},
%{basal_activity},
%{baseline},
%{binding},
%{blockade},
%{blocked},
%{bound},
%{breakdown},
%{cells},
%{deficient},
%{dose},
%{excretion},
%{Hb},
%{hemolysis},
%{index},
%{inhibition},
%{loss_AChR},
%{loss},
%{lysis},
%{normal},
%{penetration},
%{pooled_plasma},
%{positive},
%{RBCs},
%{reactive},
%{recovery},
%{reference},
%{relative},
%{residual},
%{saturation},
%{total},
%{uptake},
%{viable},
%{vol},
%{WBCs},
/(12.h),
/[arb'U],
/[HPF],
/[IU],
/[LPF],
/{entity},
/{OIF},
/10*10,
/10*12,
/10*12{RBCs},
/10*3,
/10*3{RBCs},
/10*4{RBCs},
/10*6,
/10*9,
/100,
/100{cells},
/100{neutrophils},
/100{spermatozoa},
/100{WBCs},
/a,
/cm[H2O],
/d,
/dL,
/g,
/g{creat},
/g{Hb},
/g{tot_nit},
/g{tot_prot},
/g{wet_tis},
/h,
/kg,
/kg{body_wt},
/L,
/m2,
/m3,
/mg,
/min,
/mL,
/mm,
/mmol{creat},
/mo,
/s,
/U,
/uL,
/wk,
[APL'U],
[APL'U]/mL,
[arb'U],
[arb'U]/mL,
[AU],
[bdsk'U],
[beth'U],
[CFU],
[CFU]/L,
[CFU]/mL,
[Ch],
[cin_i],
[degF],
[dr_av],
[drp],
[foz_us],
[ft_i],
[gal_us],
[GPL'U],
[GPL'U]/mL,
[HPF],
[in_i],
[in_i'H2O],
[IU],Int'l Units
[IU]/(2.h),
[IU]/(24.h),Int'l Units/day
[IU]/10*9{RBCs},
[IU]/d,
[IU]/dL,Int'l Units/100 mL
[IU]/g,
[IU]/g{Hb},
[IU]/h,Int'l Units/hr
[IU]/kg,
[IU]/kg/d,
[IU]/L,Int'l Units/L
[IU]/L{37Cel},
[IU]/mg{creat},
[IU]/min,Int'l Units/min
[IU]/mL,Int'l Units/mL
[ka'U],
[knk'U],
[lb_av],
[LPF],
[mclg'U],
[mi_i],
[MPL'U],
[MPL'U]/mL,
[oz_av],
[oz_tr],
[pH],
[ppb],
[ppm],
[ppm]{v/v},
[ppth],
[pptr],
[psi],
[pt_us],
[qt_us],
[sft_i],
[sin_i],
[syd_i],
[tbs_us],
[tb'U],
[todd'U],
[tsp_us],
[yd_i],
{#},
{#}/[HPF],
{#}/[LPF],
{#}/{platelet},
{#}/L,
{#}/min,
{#}/mL,
{#}/uL,
{absorbance},
{activity},
{AHF'U},
{APS'U},
{ARU},
{beats}/min,
{binding_index},
{CAE'U},
{CAG_repeats},
{cells},
{cells}/[HPF],
{cells}/uL,
{CH100'U},
{clock_time},
{copies},
{copies}/mL,
{copies}/ug,
{count},
{CPM},
{CPM}/10*3{cell},
{delta_OD},
{dilution},
{Ehrlich'U},
{Ehrlich'U}/(2.h),
{Ehrlich'U}/100.g,
{Ehrlich'U}/d,
{Ehrlich'U}/dL,
{EIA_index},
{EIA_titer},
{EIA'U},
{EIA'U}/U,
{ELISA'U},
{EV},
{FIU},
{fraction},
{GAA_repeats},
{genomes}/mL,
{Globules}/[HPF],
{GPS'U},
{HA_titer},
{IFA_index},
{IFA_titer},
{ImmuneComplex'U},
{index_val},
{INR},
{ISR},
{JDF'U},
{JDF'U}/L,
{KCT'U},
{KRONU'U}/mL,
{Log_copies}/mL,
{Log_IU},
{Log_IU}/mL,
{Log},
{Lyme_index_value},
{M.o.M},
{minidrop}/min,
{minidrop}/s,
{mm/dd/yyyy},
{MPS'U},
{MPS'U}/mL,
{mutation},
{OD_unit},
{Pan_Bio'U},
{percentile},
{phenotype},
{ratio},
{RBC}/uL,
{rel_saturation},
{Rubella_virus},
{s_co_ratio},
{saturation},
{shift},
{spermatozoa}/mL,
{STDV},
{titer},
{TSI_index},
{WBCs},
10*12/L,
10*3,
10*3/L,
10*3/mL,
10*3/uL,
10*3{copies}/mL,
10*3{RBCs},
10*4/uL,
10*5,
10*6,
10*6.[CFU]/L,
10*6.[IU],
10*6/(24.h),
10*6/kg,
10*6/L,
10*6/mL,
10*6/uL,
10*8,
10*9/L,
10*9/mL,
10*9/uL,
10.L/(min.m2),
10.L/min,
10.uN.s/(cm5.m2),
24.h,
A,
a,
A/m,
ag/{cell},
atm,
bar,Bar
Bq,
cal,
Cel,
cg,
cL,
cm,cm
cm[H2O],
cm[H2O]/L/s,
cm[H2O]/s/m,
cm[Hg],
cm2,cm2 cust
cm2/s,
cP,
cSt,
d,
daL/min,
daL/min/m2,
dB,
deg,
deg/s,
dg,
dL,
dm,
dm2/s2,
dyn.s/(cm.m2),
dyn.s/cm,
eq,
eq/L,
eq/mL,
eq/mmol,
eq/umol,
erg,
eV,
F,
fg,
fL,
fm,
fmol,
fmol/g,
fmol/L,
fmol/mg,
fmol/mg{cyt_prot},
fmol/mg{prot},
fmol/mL,
g,g
g.m,
g.m/{beat},
g/(100.g),
g/(12.h),
g/(24.h),g/day
g/(3.d),
g/(4.h),
g/(48.h),
g/(5.h),
g/(6.h),
g/(72.h),
g/(8.h){shift},
g/{specimen},
g/{total_output},
g/{total_weight},
g/cm3,
g/d,
g/dL,g/100 mL
g/g,
g/g{creat},
g/g{globulin},
g/g{tissue},
g/h,g/hr
g/h/m2,
g/kg ,g/kg
g/kg/(8.h),
g/kg/(8.h){shift},
g/kg/d,g/kg/day
g/kg/h,
g/kg/min,
g/L,g/L
g/m2,g/m2
g/mg,
g/min,
g/mL,g/mL
g/mmol,
g/mol{creat},
g{creat},
g{Hb},
g{total_nit},
g{total_prot},
g{wet_tissue},
Gy,
H,
h,
Hz,
J,
J/L,
K,
K/W,
k[IU]/L,
k[IU]/mL,
kat,
kat/kg,
kat/L,
kcal,kcal
kcal/[oz_av],
kcal/d,kcal/day
kcal/h,
kcal/kg/(24.h),
kg,
kg.m/s,
kg/(s.m2),
kg/h,
kg/L,
kg/m2,
kg/m3,
kg/min,
kg/mol,
kg/s,
kL,
km,
kPa,
ks,
kU,
kU/g,
kU/L,
kU/L{class},
kU/mL,
L,L
L/(24.h),
L/(8.h),
L/(min.m2),
L/d,L/day
L/h,
L/kg,
L/L,L/L
L/min,L/min
L/s,
L/s/s2,
lm,
lm.m2,
m,m
m/s,
m/s2,
m[IU]/L,
m[IU]/mL,
m2,
m2/s,
m3/s,
mA,
mbar,
mbar.s/L,
mbar/L/s,
meq,mEq
meq/(2.h),
meq/(24.h),
meq/(8.h),
meq/{specimen},
meq/{total_volume},
meq/d,mEq/day
meq/dL,mEq/100 mL
meq/g,
meq/g{creat},
meq/h,mEq/hr
meq/kg,mEq/kg
meq/kg/h,
meq/L,
meq/m2,
meq/min,
meq/mL,
mg,mg
mg/(10.h),
mg/(12.h),
mg/(2.h),
mg/(24.h),
mg/(6.h),
mg/(72.h),
mg/(8.h),
mg/{collection},
mg/{specimen},
mg/{total_output},
mg/{total_volume},
mg/d,mg/day
mg/d/{1.73_m2},
mg/dL,
mg/dL{RBCs},
mg/g,
mg/g{creat},
mg/g{dry_tissue},
mg/g{feces},
mg/g{tissue},
mg/g{wet_tissue},
mg/h,mg/hr
mg/kg,mg/kg
mg/kg/(8.h),
mg/kg/d,mg/kg/day
mg/kg/h,mg/kg/hr
mg/kg/min,mg/kg/min
mg/L,mg/L
mg/L{RBCs},
mg/m2,mg/m2
mg/m3,
mg/mg,
mg/mg{creat},
mg/min,mg/min
mg/mL,mg/mL
mg/mmol,
mg/mmol{creat},
mg/wk,
mg{FEU}/L,
min,
mL,mL
mL/(10.h),
mL/(12.h),
mL/(2.h),
mL/(24.h),
mL/(4.h),
mL/(5.h),
mL/(6.h),
mL/(72.h),
mL/(8.h),
mL/(8.h)/kg,
mL/[sin_i],
mL/{beat},
mL/{beat}/m2,
mL/cm[H2O],
mL/d,mL/day
mL/dL,
mL/h,mL/hr
mL/kg,mL/kg
mL/kg/(8.h),
mL/kg/d,mL/kg/day
mL/kg/h,mL/kg/hr
mL/kg/min,
mL/m2,
mL/mbar,
mL/min,
mL/min/{1.73_m2},
mL/min/m2,
mL/mm,
mL/s,
mL{fetal_RBCs},
mm,mm
mm/h,
mm/min,
mm[H2O],
mm[Hg],
mm2,
mmol,mmol
mmol/(12.h),
mmol/(2.h),
mmol/(24.h),
mmol/(5.h),
mmol/(6.h),
mmol/(8.h),
mmol/{ejaculate},
mmol/{specimen},
mmol/{total_vol},
mmol/d,
mmol/dL,
mmol/g,
mmol/g{creat},
mmol/h,
mmol/h/mg{Hb},
mmol/h/mg{prot},
mmol/kg,mmol/kg
mmol/kg/(8.h),
mmol/kg/d,mmol/kg/day
mmol/kg/h,
mmol/kg/min,
mmol/L,
mmol/L{RBCs},
mmol/m2,
mmol/min,
mmol/mmol,
mmol/mmol{creat},
mmol/mmol{urea},
mmol/mol,
mmol/mol{creat},
mmol/s/L,
mo,
mol,
mol/kg,
mol/kg/s,
mol/L,
mol/m3,
mol/mL,
mol/mol,
mol/s,
mosm,
mosm/kg,
mosm/L,
mPa,
mPa.s,
Ms,
ms,
mU/g,
mU/g{Hb},
mU/g{prot},
mU/L,
mU/mg,
mU/mg{creat},
mU/mL,
mU/mL/min,
mU/mmol{creat},
mU/mmol{RBCs},
mV,
N,
N.cm,
N.s,
ng,ng
ng/(24.h),
ng/(8.h),
ng/10*6,
ng/10*6{RBCs},
ng/d,
ng/dL,
ng/g,
ng/g{creat},
ng/h,
ng/kg,ng/kg
ng/kg/(8.h),
ng/kg/h,
ng/kg/min,ng/kg/min
ng/L,
ng/m2,
ng/mg,
ng/mg/h,
ng/mg{creat},
ng/mg{prot},
ng/min,
ng/mL,
ng/mL/h,
ng/mL{RBCs},
ng/s,
ng/U,
ng{FEU}/mL,
NI,
nkat,
nL,
nm,
nm/s/L,
nmol,
nmol/(24.h),
nmol/d,
nmol/dL,
nmol/dL{GF},
nmol/g,
nmol/g{creat},
nmol/g{dry_wt},
nmol/h/L,
nmol/h/mg{prot},
nmol/L,
nmol/L/mmol{creat},
nmol/L{RBCs},
nmol/m/mg{prot},
nmol/mg,
nmol/mg/h,
nmol/mg{creat},
nmol/mg{prot},
nmol/mg{prot},
nmol/mg{prot}/h,
nmol/min,
nmol/min/10*6{cells},
nmol/min/mg{Hb},
nmol/min/mg{prot},
nmol/min/mL,
nmol/mL,
nmol/mL/h,
nmol/mL/min,
nmol/mmol,
nmol/mmol{creat},
nmol/mmol{creat},
nmol/mol,
nmol/nmol,
nmol/s,
nmol/s/L,
nmol/umol{creat},
nmol{ATP},
nmol{BCE},
nmol{BCE}/L,
ns,
nU/{RBC},
nU/mL,
Ohm,
Ohm.m,
osm,
osm/kg,
osm/L,
OT,
Pa,
pA,
pg,
pg/{cell},
pg/{RBC},
pg/dL,
pg/L,
pg/mg,
pg/mg{creat},
pg/mL,
pg/mm,
pkat,
pL,
pm,
pmol,
pmol/(24.h),
pmol/{RBC},
pmol/d,
pmol/dL,
pmol/g,
pmol/h/mg{prot},
pmol/h/mL,
pmol/L,
pmol/mg{prot},
pmol/min,
pmol/min/mg{prot},
pmol/mL,
pmol/mmol{creat},
pmol/umol,
pmol/umol{creat},
ps,
pT,
s,
S,
s/{control},
Sv,
t,
T,
Torr,
U,Units
U/(10.g){feces},
U/(12.h),
U/(2.h),
U/(24.h),
U/10,
U/10*10,
U/10*10{cells},
U/10*12,
U/10*12{RBCs},
U/10*6,
U/10*9,
U/d,Units/day
U/dL,Units/100 mL
U/g,
U/g{creat},
U/g{Hb},
U/g{protein},
U/h,Units/hr
U/kg{Hb},
U/L,Units/L
U/min,Units/min
U/mL,Units/mL
U/mL{RBCs},
U/mmol{creat},
U/s,
u[IU],
u[IU]/L,
u[IU]/mL,
U{25Cel}/L,
U{37Cel}/L,
ueq,
ueq/L,
ueq/mL,
ug,mcg
ug/(100.g),
ug/(24.h),mcg/day
ug/(8.h),
ug/[sft_i],
ug/{specimen},
ug/d,
ug/dL,
ug/dL{RBCs},
ug/g,
ug/g{creat},
ug/g{dry_tissue},
ug/g{dry_wt},
ug/g{feces},
ug/g{hair},
ug/g{Hb},
ug/g{tissue},
ug/h,mcg/hr
ug/kg,mcg/kg
ug/kg/(8.h),
ug/kg/d,mcg/kg/day
ug/kg/h,mcg/kg/hr
ug/kg/min,mcg/kg/min
ug/L,mcg/L
ug/L/(24.h),
ug/L{RBCs},
ug/m2,mcg/m2
ug/m3,
ug/mg,
ug/mg{creat},
ug/min,
ug/mL,mcg/mL
ug/mL{class},
ug/mL{eqv},
ug/mmol,
ug/mmol{creat},
ug/ng,
ug{FEU}/mL,
ukat,
uL,mcL
uL/(2.h),
uL/h,
um,
um/s,
umol,
umol/(2.h),
umol/(24.h),
umol/(8.h),
umol/d,
umol/dL,
umol/dL{GF},
umol/g,
umol/g{creat},
umol/g{Hb},
umol/h,
umol/kg,
umol/kg{feces},
umol/L,
umol/L/h,
umol/L{RBCs},
umol/mg,
umol/mg{creat},
umol/min,
umol/min/g,
umol/min/g{mucosa},
umol/min/g{prot},
umol/min/L,
umol/mL,
umol/mL/min,
umol/mmol,
umol/mmol{creat},
umol/mol,
umol/mol{creat},
umol/mol{Hb},
umol/umol,
umol/umol{creat},
umol{BCE}/mol,
UN,
uOhm,
us,
uU/g,
uU/L,
uU/mL,
uV,
V,
Wb,
wk,
